,block_id,timeout,hitting_set_time,hitting_set_cost,hitting_set_found_optimal,hitting_set_model_found,hard_time,hard_cost,oms_time,oms_cost,oms_found_optimal,oms_model_found,z3_time,z3_cost,z3_found_optimal,z3_model_found
38,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block391_input_z3.smt2,30.0,30.0,4,False,True,6.68,0.0,30.073,1,False,True,30.01,0,False,True
39,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block65_input_z3.smt2,60.0,33.9,0,True,True,29.79,0.0,30.35,0,True,True,28.675,0,True,True
40,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block109_input_z3.smt2,60.0,31.41,0,True,True,38.63,0.0,15.084000000000001,0,True,True,41.886,0,True,True
41,0x3E873439949793e8c577E08629c36Ed8c184e7D9_Ownable_block19_input_z3.smt2,60.0,34.66,0,True,True,31.16,0.0,16.636,0,True,True,58.202,0,True,True
42,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block128_input_z3.smt2,60.0,51.16,0,True,True,23.51,0.0,19.738,0,True,True,43.888000000000005,0,True,True
43,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block123_input_z3.smt2,30.0,3.9,5,True,True,30.01,,6.024,5,True,True,12.505999999999998,5,True,True
44,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block115.0_input_z3.smt2,30.0,24.62,1,True,True,30.03,,5.2989999999999995,1,True,True,26.858,1,True,True
45,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block295_input_z3.smt2,60.0,60.0,0,False,True,20.61,0.0,21.599,0,True,True,40.818000000000005,0,True,True
46,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block170_input_z3.smt2,30.0,30.0,2,False,True,8.92,0.0,17.117,2,True,True,14.979000000000001,2,True,True
47,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block127_input_z3.smt2,60.0,64.47,0,False,True,52.69,0.0,24.506,0,True,True,59.961999999999996,0,False,True
48,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block181_input_z3.smt2,60.0,38.79,0,True,True,26.36,0.0,27.971,0,True,True,59.977,0,False,True
