,block_id,timeout_in_s,solver_time_in_sec,has_model,finished_execution,lower_bound,upper_bound,models_found,cost_per_model_found,found_model_times,hard_is_sat,hard_time_in_sec,hard_found_model,hard_cost_found
50,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block406.0,50.0,55.71,False,False,-2,39,[],[],[],False,50.01,,
51,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block171.1,20.0,28.05,False,False,-2,20,[],[],[],False,20.01,,
52,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block57,30.0,31.96,False,False,-3,31,[],[],[],False,30.06,,
53,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block397,40.0,40.32,False,False,-3,21,[],[],[],False,40.02,,
54,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block240,40.0,42.24,False,False,-2,30,[],[],[],False,40.05,,
55,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block465,10.0,10.34,False,False,-2,24,[],[],[],False,10.01,,
56,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block328,40.0,40.58,False,False,-2,27,[],[],[],False,40.02,,
57,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block11.0,30.0,31.12,False,False,-3,26,[],[],[],False,30.02,,
58,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block107,50.0,138.56,True,False,-8,23,"['PUSH PUSH MSTORE_1 PUSH PUSH KECCAK256_0 CALLER_0 DUP2 PUSH MSTORE_3 PUSH MSTORE_0 PUSH DUP4 PUSH AND_0 PUSH MSTORE_2 SWAP1 SLOAD_0 DUP3 DUP2 LT_0 ISZERO_0 SWAP2 SWAP2 NOP NOP NOP', 'PUSH PUSH MSTORE_1 PUSH PUSH KECCAK256_0 CALLER_0 DUP2 PUSH MSTORE_3 PUSH MSTORE_0 PUSH DUP4 PUSH AND_0 PUSH MSTORE_2 SWAP1 SLOAD_0 DUP3 DUP2 LT_0 ISZERO_0 SWAP2 SWAP2 NOP NOP NOP', 'PUSH PUSH KECCAK256_0 DUP1 SLOAD_0 CALLER_0 PUSH DUP5 DUP4 LT_0 ISZERO_0 SWAP2 PUSH MSTORE_0 DUP6 AND_0 PUSH PUSH PUSH MSTORE_1 MSTORE_2 PUSH SWAP3 PUSH MSTORE_3 NOP NOP NOP NOP', 'PUSH DUP2 DUP4 PUSH PUSH MSTORE_1 PUSH AND_0 PUSH DUP4 KECCAK256_0 CALLER_0 DUP2 PUSH MSTORE_3 PUSH MSTORE_0 SWAP1 DUP4 MSTORE_2 SLOAD_0 SWAP1 DUP2 LT_0 ISZERO_0 NOP NOP NOP NOP', 'PUSH PUSH KECCAK256_0 DUP1 SLOAD_0 DUP3 DUP2 LT_0 ISZERO_0 DUP5 PUSH AND_0 PUSH CALLER_0 PUSH MSTORE_0 MSTORE_2 PUSH SWAP3 PUSH PUSH MSTORE_1 PUSH MSTORE_3 NOP NOP NOP NOP NOP', 'PUSH PUSH PUSH PUSH MSTORE_1 PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 DUP3 DUP5 CALLER_0 PUSH MSTORE_0 PUSH AND_0 DUP4 MSTORE_2 DUP2 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP', 'PUSH PUSH MSTORE_1 DUP2 PUSH AND_0 CALLER_0 PUSH MSTORE_0 PUSH MSTORE_2 PUSH PUSH DUP2 KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 DUP3 DUP2 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP', 'CALLER_0 PUSH MSTORE_0 PUSH DUP3 AND_0 PUSH PUSH MSTORE_1 PUSH MSTORE_2 PUSH PUSH DUP2 KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 DUP3 DUP2 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP', 'PUSH PUSH MSTORE_1 PUSH PUSH DUP2 KECCAK256_0 CALLER_0 DUP2 PUSH MSTORE_3 PUSH MSTORE_0 DUP4 PUSH AND_0 DUP3 MSTORE_2 SLOAD_0 DUP3 DUP2 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP', 'PUSH PUSH DUP2 CALLER_0 PUSH MSTORE_0 PUSH DUP6 AND_0 DUP4 MSTORE_2 KECCAK256_0 DUP1 PUSH PUSH MSTORE_1 PUSH MSTORE_3 SLOAD_0 DUP3 DUP2 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP', 'DUP2 PUSH CALLER_0 PUSH MSTORE_0 AND_0 PUSH PUSH MSTORE_1 PUSH MSTORE_2 PUSH PUSH PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 DUP3 DUP2 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP', 'PUSH PUSH PUSH PUSH MSTORE_1 PUSH KECCAK256_0 CALLER_0 DUP2 PUSH MSTORE_3 DUP3 MSTORE_0 SLOAD_0 DUP3 DUP2 LT_0 PUSH DUP6 AND_0 PUSH MSTORE_2 ISZERO_0 NOP NOP NOP NOP NOP NOP', 'CALLER_0 PUSH MSTORE_0 PUSH PUSH MSTORE_1 PUSH PUSH PUSH DUP5 AND_0 DUP3 MSTORE_2 PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 DUP3 DUP2 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP', 'DUP2 CALLER_0 PUSH MSTORE_0 PUSH AND_0 PUSH PUSH MSTORE_1 PUSH MSTORE_2 PUSH PUSH DUP2 KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 DUP3 DUP2 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP']","[3, 3, 4, 4, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[44.08, 44.09, 72.5, 105.6, 122.67, 125.89, 130.4, 136.34, 136.95, 137.37, 137.42, 138.32, 138.48, 138.55]",True,24.97,PUSH DUP3 PUSH PUSH KECCAK256_0 DUP1 PUSH PUSH MSTORE_1 SLOAD_0 SWAP2 DUP6 CALLER_0 DUP6 SWAP2 POP DUP7 SWAP2 MSTORE_0 DUP4 LT_0 ISZERO_0 SWAP2 PUSH MSTORE_3 PUSH AND_0 DUP4 MSTORE_2,0.0
59,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block120.0,50.0,51.82,False,False,-5,40,[],[],[],False,50.01,,
