,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
211,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block319_input,7.0,21,True,False,21,0.0,0.061,PUSH 0 PUSH 20 DUP3 DUP5 SUB SLT ISZERO ,7,7.0,3,2,9.0,"['PUSH1', 'PUSH1', 'DUP3', 'DUP5', 'SUB', 'SLT', 'ISZERO']",9,0.0
212,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block199_input,9.0,27,True,False,33,6.0,0.042,PUSH 40 MLOAD PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP2 MSTORE PUSHTAG 121 SWAP1 PUSH 4 ADD ,9,9.0,4,3,47.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'ADD', 'PUSHTAG', 'SWAP1']",21,-26.0
213,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block158_input,2.0,5003,True,False,5003,0.0,0.022,PUSH 1 SSTORE ,2,2.0,1,1,3.0,"['PUSH1', 'SSTORE']",3,0.0
214,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block175_input,2.0,6,True,False,6,0.0,0.02,GT ISZERO ,2,2.0,2,0,2.0,"['GT', 'ISZERO']",2,0.0
215,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block211_input,,,False,True,143,,49.959,,30,,8,5,,"['CALLER', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP2', 'DUP2', 'MSTORE', 'PUSH1', 'DUP1', 'DUP5', 'KECCAK256', 'DUP12', 'DUP6', 'MSTORE', 'SWAP1', 'SWAP2', 'MSTORE', 'SWAP1', 'SWAP2', 'KECCAK256', 'SWAP1', 'PUSH1', 'DUP9', 'AND', 'SWAP1', 'DUP2', 'LT']",35,
216,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_SafeMath_initial_block0.1_input,6.0,18,True,False,18,0.0,0.028,DUP1 MLOAD PUSH 0 BYTE PUSH 73 EQ ,6,6.0,3,2,8.0,"['DUP1', 'MLOAD', 'PUSH1', 'BYTE', 'PUSH1', 'EQ']",8,0.0
217,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_Ownable_block22.1_input,10.0,5724,True,False,5769,45.0,0.835,PUSH ffffffffffffffffffffffffffffffffffffffff SWAP1 AND PUSH ffffffffffffffffffffffff0000000000000000000000000000000000000000 PUSH 0 SLOAD AND OR PUSH 0 SSTORE ,17,10.0,5,3,64.0,"['PUSH1', 'DUP1', 'SLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'NOT', 'AND', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'SWAP3', 'SWAP1', 'SWAP3', 'AND', 'SWAP2', 'SWAP1', 'SWAP2', 'OR', 'SWAP1', 'SSTORE']",32,-32.0
218,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block270_input,3.0,9,True,False,9,0.0,0.02,PUSH 60 DUP4 ISZERO ,3,3.0,1,1,4.0,"['PUSH1', 'DUP4', 'ISZERO']",4,0.0
219,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block289_input,6.0,15,True,False,18,3.0,0.128,SWAP4 POP POP SWAP1 POP SWAP2 ,7,6.0,0,0,6.0,"['SWAP1', 'POP', 'SWAP3', 'POP', 'SWAP3', 'SWAP1', 'POP']",7,1.0
220,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block30_input,3.0,9,True,False,9,0.0,0.018,PUSH 715018a6 DUP2 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
221,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block98_input,9.0,27,True,False,33,6.0,0.033,PUSH 40 MLOAD PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP2 MSTORE PUSHTAG 121 SWAP1 PUSH 4 ADD ,9,9.0,4,3,47.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'ADD', 'PUSHTAG', 'SWAP1']",21,-26.0
222,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block184_input,19.0,84,True,False,117,33.0,11.749,PUSH 5 PUSH 20 MSTORE PUSH 40 PUSH 0 KECCAK256 DUP1 PUSH 20 MSTORE DUP4 PUSH 0 MSTORE DUP3 PUSH 0 MSTORE DUP2 PUSH 5 DUP4 LT ,21,19.0,6,4,27.0,"['PUSH1', 'PUSH1', 'MSTORE', 'DUP3', 'PUSH1', 'MSTORE', 'PUSH1', 'PUSH1', 'KECCAK256', 'PUSH1', 'MSTORE', 'DUP2', 'PUSH1', 'MSTORE', 'PUSH1', 'PUSH1', 'KECCAK256', 'DUP2', 'PUSH1', 'DUP2', 'LT']",31,4.0
223,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block169_input,15.0,767,True,False,782,15.0,2.813,PUSH 1fa40 PUSH 6 PUSH 20 MSTORE PUSHTAG 233 CALLER PUSH 0 MSTORE NUMBER PUSH 1 PUSH 40 PUSH 0 KECCAK256 ADD SLOAD ,20,15.0,8,6,28.0,"['CALLER', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'MSTORE', 'PUSH1', 'SWAP1', 'KECCAK256', 'PUSH1', 'ADD', 'SLOAD', 'PUSH3', 'SWAP1', 'PUSHTAG', 'SWAP1', 'NUMBER', 'SWAP1']",32,4.0
224,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_initial_block2.0_input,9.0,25,True,False,25,0.0,0.245,POP PUSH 40 MLOAD PUSHSIZE CODESIZE SUB DUP1 PUSHSIZE DUP4 ,9,9.0,4,1,18.0,"['POP', 'PUSH1', 'MLOAD', 'PUSHSIZE', 'CODESIZE', 'SUB', 'DUP1', 'PUSHSIZE', 'DUP4']",18,0.0
225,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block80_input,7.0,715,True,False,718,3.0,0.121,ADD SWAP3 POP POP POP SLOAD DUP2 ,8,7.0,2,0,7.0,"['ADD', 'SLOAD', 'SWAP3', 'POP', 'DUP4', 'SWAP2', 'POP', 'POP']",8,1.0
226,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_SafeMath_initial_block1_input,6.0,18,True,False,24,6.0,0.018,PUSH 4e487b7100000000000000000000000000000000000000000000000000000000 PUSH 0 MSTORE PUSH 0 PUSH 4 MSTORE ,6,6.0,2,3,41.0,"['PUSH4', 'PUSH1', 'SHL', 'PUSH1', 'MSTORE', 'PUSH1', 'PUSH1', 'MSTORE']",16,-25.0
227,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block321_input,5.0,13,True,False,13,0.0,0.023,POP SWAP1 POP MLOAD SWAP1 ,5,5.0,1,0,5.0,"['POP', 'MLOAD', 'SWAP2', 'SWAP1', 'POP']",5,0.0
228,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block23_input,3.0,9,True,False,9,0.0,0.021,PUSH b9553fb6 DUP2 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
229,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block101_input,,,False,True,862,,40.035,,37,,12,7,,"['PUSH1', 'SWAP2', 'DUP3', 'MSTORE', 'PUSH1', 'DUP1', 'DUP4', 'KECCAK256', 'CALLER', 'DUP5', 'MSTORE', 'PUSH1', 'SWAP1', 'SWAP2', 'MSTORE', 'PUSH1', 'SWAP1', 'SWAP3', 'KECCAK256', 'PUSH1', 'PUSH1', 'SWAP1', 'SWAP3', 'MUL', 'SWAP1', 'SWAP3', 'ADD', 'SWAP1', 'DUP2', 'ADD', 'SLOAD', 'SWAP1', 'SWAP3', 'POP', 'PUSH1', 'AND', 'ISZERO']",44,
230,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block124_input,5.0,712,True,False,715,3.0,0.032,DUP2 PUSH 8 SLOAD DUP4 LT ,6,5.0,2,1,6.0,"['PUSH1', 'SLOAD', 'DUP3', 'SWAP1', 'DUP2', 'LT']",7,1.0
231,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block136_input,13.0,761,True,False,767,6.0,1.262,POP PUSH 3 PUSH 20 MSTORE PUSH 40 PUSH 0 KECCAK256 SLOAD CALLER PUSH 0 MSTORE PUSH ff AND ,15,13.0,6,5,19.0,"['POP', 'CALLER', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'MSTORE', 'PUSH1', 'SWAP1', 'KECCAK256', 'SLOAD', 'PUSH1', 'AND']",20,1.0
232,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block90_input,10.0,5722,True,False,5725,3.0,0.651,PUSH 3 ADD PUSH ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00 DUP2 SLOAD AND SWAP1 SSTORE POP POP ,11,10.0,4,2,43.0,"['PUSH1', 'ADD', 'DUP1', 'SLOAD', 'PUSH1', 'NOT', 'AND', 'SWAP1', 'SSTORE', 'POP', 'POP']",13,-30.0
233,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block295_input,8.0,24,True,False,24,0.0,0.092,PUSH 0 DUP1 PUSH 40 DUP4 DUP6 SUB SLT ISZERO ,8,8.0,3,2,10.0,"['PUSH1', 'DUP1', 'PUSH1', 'DUP4', 'DUP6', 'SUB', 'SLT', 'ISZERO']",10,0.0
234,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block207_input,27.0,106,False,False,134,28.0,50.005,PUSH 40 DUP8 PUSH 0 MSTORE PUSH a PUSH 20 MSTORE PUSH 0 KECCAK256 PUSH ff CALLER PUSH 0 MSTORE DUP8 AND PUSH 20 DUP3 PUSH 5 SWAP2 SWAP10 DUP11 SWAP1 SWAP11 POP MSTORE DUP2 LT ,27,27.0,8,6,36.0,"['PUSH1', 'DUP8', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'DUP1', 'DUP4', 'KECCAK256', 'CALLER', 'DUP5', 'MSTORE', 'SWAP1', 'SWAP2', 'MSTORE', 'SWAP1', 'KECCAK256', 'PUSH1', 'DUP8', 'AND', 'PUSH1', 'DUP2', 'LT']",33,-3.0
235,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block203_input,27.0,6495,False,False,6510,15.0,40.005,PUSH 4 PUSH 4 PUSH 4 PUSH 20 MSTORE POP POP PUSH ffffffffffffffffffffffff0000000000000000000000000000000000000000 PUSHTAG 279 PUSH 40 PUSH 0 KECCAK256 PUSH 1 CALLER DUP3 SLOAD DUP4 SWAP6 AND CALLER OR DUP6 SSTORE PUSH 0 MSTORE ADD SLOAD ,27,27.0,11,6,71.0,"['CALLER', 'PUSH1', 'DUP2', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'MSTORE', 'PUSH1', 'SWAP1', 'KECCAK256', 'DUP1', 'SLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'NOT', 'AND', 'SWAP1', 'SWAP2', 'OR', 'DUP2', 'SSTORE', 'PUSH1', 'DUP2', 'ADD', 'SLOAD', 'PUSHTAG', 'SWAP1']",43,-28.0
236,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block89_input,9.0,27,True,False,33,6.0,0.031,PUSH 40 MLOAD PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP2 MSTORE PUSHTAG 121 SWAP1 PUSH 4 ADD ,9,9.0,4,3,47.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'ADD', 'PUSHTAG', 'SWAP1']",21,-26.0
237,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block310_input,16.0,48,True,False,51,3.0,1.666,PUSH 1c PUSH 20 DUP3 MSTORE DUP2 PUSH 20 ADD MSTORE PUSH 5468652070726f706f73616c20646f6573206e6f742065786973742100000000 PUSH 40 DUP3 ADD MSTORE PUSH 60 ADD SWAP1 ,17,16.0,6,5,53.0,"['PUSH1', 'DUP1', 'DUP3', 'MSTORE', 'PUSH1', 'SWAP1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD', 'SWAP1']",53,0.0
238,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block332_input,6.0,18,True,False,24,6.0,0.023,PUSH 12 PUSH 4 MSTORE PUSH 4e487b7100000000000000000000000000000000000000000000000000000000 PUSH 0 MSTORE ,6,6.0,2,4,41.0,"['PUSH4', 'PUSH1', 'SHL', 'PUSH1', 'MSTORE', 'PUSH1', 'PUSH1', 'MSTORE']",16,-25.0
239,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block182_input,3.0,7,True,False,10,3.0,0.022,POP POP PUSH 0 ,4,3.0,0,1,4.0,"['PUSH1', 'SWAP2', 'POP', 'POP']",5,1.0
240,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block16_input,3.0,9,True,False,9,0.0,0.018,PUSH db481c50 DUP2 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
241,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block83_input,6.0,18,True,False,18,0.0,0.024,PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1 ,6,6.0,2,1,7.0,"['PUSH1', 'MLOAD', 'DUP1', 'SWAP2', 'SUB', 'SWAP1']",7,0.0
242,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block279_input,8.0,23,True,False,23,0.0,0.33,DUP4 CALLDATALOAD SWAP3 POP PUSHTAG 396 DUP5 PUSH 20 ADD ,8,8.0,3,1,13.0,"['DUP4', 'CALLDATALOAD', 'SWAP3', 'POP', 'PUSHTAG', 'PUSH1', 'DUP6', 'ADD']",13,0.0
243,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block218_input,6.0,714,True,False,726,12.0,0.023,PUSH 0 SLOAD PUSH ffffffffffffffffffffffffffffffffffffffff AND CALLER EQ ,6,6.0,4,2,27.0,"['PUSH1', 'SLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'AND', 'CALLER', 'EQ']",14,-13.0
244,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block280_input,10.0,27,True,False,35,8.0,7.318,SWAP4 PUSH 40 ADD CALLDATALOAD SWAP4 SWAP5 POP POP POP SWAP3 ,13,10.0,2,1,11.0,"['SWAP2', 'POP', 'PUSH1', 'DUP5', 'ADD', 'CALLDATALOAD', 'SWAP1', 'POP', 'SWAP3', 'POP', 'SWAP3', 'POP', 'SWAP3']",14,3.0
245,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block28_input,3.0,9,True,False,9,0.0,0.018,PUSH 2b54e80c DUP2 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
