,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
153,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block80_input,,,False,True,5874,,79.98,,37,,10,5,,"['PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP4', 'AND', 'PUSH1', 'DUP2', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP2', 'DUP2', 'MSTORE', 'PUSH1', 'DUP1', 'DUP5', 'KECCAK256', 'DUP8', 'DUP6', 'MSTORE', 'DUP1', 'DUP5', 'ADD', 'DUP4', 'MSTORE', 'SWAP1', 'DUP5', 'KECCAK256', 'DUP11', 'SWAP1', 'SSTORE', 'SWAP4', 'DUP4', 'MSTORE', 'MSTORE', 'DUP2', 'SLOAD', 'SWAP2', 'SWAP1']",49,
154,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block156_input,22.0,66,True,False,72,6.0,2.631,PUSH 40 MLOAD PUSH 20 PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP3 MSTORE DUP2 PUSH 4 ADD MSTORE PUSH 45434453413a20696e76616c6964207369676e61747572650000000000000000 PUSH 18 PUSH 24 DUP4 ADD MSTORE PUSH 44 DUP3 ADD MSTORE PUSH 64 ADD ,22,22.0,9,9,93.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD']",67,-26.0
155,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block6_input,3.0,9,True,False,9,0.0,0.019,PUSH b02004b2 DUP2 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
156,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block213_input,6.0,18,True,False,24,6.0,0.019,PUSH 22 PUSH 4 MSTORE PUSH 4e487b7100000000000000000000000000000000000000000000000000000000 PUSH 0 MSTORE ,6,6.0,2,4,41.0,"['PUSH4', 'PUSH1', 'SHL', 'PUSH1', 'MSTORE', 'PUSH1', 'PUSH1', 'MSTORE']",16,-25.0
157,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block100_input,27.0,81,True,False,93,12.0,34.267,PUSH 40 MLOAD PUSH 28 DUP2 PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP2 MSTORE PUSH 20 PUSH 4 DUP5 ADD MSTORE PUSH 24 ADD MSTORE PUSH 6c6c6f77616e6365000000000000000000000000000000000000000000000000 PUSH 64 PUSH 45524332303a207472616e7366657220616d6f756e7420657863656564732061 DUP4 PUSH 44 ADD MSTORE DUP3 ADD MSTORE PUSH 84 ADD ,27,27.0,11,11,131.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH8', 'PUSH1', 'SHL', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD']",84,-47.0
158,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block106_input,,,False,True,909,,70.0,,63,,21,8,,"['PUSH1', 'DUP1', 'SLOAD', 'PUSH1', 'DUP1', 'MLOAD', 'PUSH1', 'DUP2', 'ADD', 'SWAP3', 'SWAP1', 'SWAP3', 'MSTORE', 'PUSH12', 'NOT', 'PUSH1', 'DUP8', 'SWAP1', 'SHL', 'AND', 'SWAP1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'DUP2', 'ADD', 'DUP5', 'SWAP1', 'MSTORE', 'PUSH1', 'DUP2', 'ADD', 'DUP4', 'SWAP1', 'MSTORE', 'PUSH1', 'ADD', 'PUSH1', 'MLOAD', 'PUSH1', 'DUP2', 'DUP4', 'SUB', 'SUB', 'DUP2', 'MSTORE', 'SWAP1', 'PUSH1', 'MSTORE', 'DUP1', 'MLOAD', 'SWAP1', 'PUSH1', 'ADD', 'KECCAK256', 'SWAP1', 'POP', 'SWAP4', 'SWAP3', 'POP', 'POP', 'POP']",86,
159,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block154.0_input,3.0,8,True,False,8,0.0,0.02,RETURNDATASIZE PUSH 0 PUSH 0 ,3,3.0,1,1,5.0,"['RETURNDATASIZE', 'PUSH1', 'DUP1']",4,-1.0
160,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block218_input,6.0,18,True,False,18,0.0,0.031,PUSH 0 DUP3 NOT DUP3 GT ISZERO ,6,6.0,3,1,7.0,"['PUSH1', 'DUP3', 'NOT', 'DUP3', 'GT', 'ISZERO']",7,0.0
161,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block19_input,3.0,9,True,False,9,0.0,0.02,PUSH 18160ddd DUP2 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
162,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block78_input,22.0,66,True,False,72,6.0,2.638,PUSH 40 MLOAD PUSH 20 PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP3 MSTORE DUP2 PUSH 4 ADD MSTORE PUSH 4272696467653a20496e76616c6964207472616e73616374696f6e2e00000000 PUSH 1c PUSH 24 DUP4 ADD MSTORE PUSH 44 DUP3 ADD MSTORE PUSH 64 ADD ,22,22.0,9,9,93.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD']",67,-26.0
