,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
75,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_initial_block22_input,7.0,21,True,False,33,12.0,0.038,DUP2 MLOAD PUSH ffffffffffffffffffffffffffffffffffffffff DUP2 AND DUP2 EQ ,7,7.0,3,1,27.0,"['DUP2', 'MLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP2', 'AND', 'DUP2', 'EQ']",14,-13.0
76,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_initial_block11_input,9.0,5024,True,False,5024,0.0,0.1,DUP3 DUP4 ADD PUSH 1 ADD DUP6 SSTORE DUP3 ISZERO ,9,9.0,4,1,10.0,"['DUP3', 'DUP1', 'ADD', 'PUSH1', 'ADD', 'DUP6', 'SSTORE', 'DUP3', 'ISZERO']",10,0.0
77,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block124_input,3.0,9,True,False,21,12.0,0.016,PUSH ffffffffffffffffffffffffffffffffffffffff DUP4 AND ,3,3.0,1,1,23.0,"['PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP4', 'AND']",10,-13.0
78,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block117_input,14.0,42,True,False,42,0.0,0.834,PUSH 20 DUP3 ADD MLOAD PUSH 40 DUP4 ADD MLOAD PUSH 60 DUP5 ADD MLOAD PUSH 0 BYTE ,14,14.0,7,4,18.0,"['PUSH1', 'DUP3', 'ADD', 'MLOAD', 'PUSH1', 'DUP4', 'ADD', 'MLOAD', 'PUSH1', 'DUP5', 'ADD', 'MLOAD', 'PUSH1', 'BYTE']",18,0.0
79,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block214_input,4.0,10,True,False,10,0.0,0.018,POP SWAP2 SWAP1 POP ,4,4.0,0,0,4.0,"['POP', 'SWAP2', 'SWAP1', 'POP']",4,0.0
80,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block40_input,9.0,27,True,False,27,0.0,0.085,ISZERO PUSH 40 MLOAD PUSH 20 SWAP2 ISZERO DUP2 MSTORE ADD ,9,9.0,5,2,11.0,"['PUSH1', 'MLOAD', 'SWAP1', 'ISZERO', 'ISZERO', 'DUP2', 'MSTORE', 'PUSH1', 'ADD']",11,0.0
81,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block137_input,,,False,True,5868,,50.141,,36,,9,5,,"['PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP1', 'DUP7', 'AND', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'MSTORE', 'PUSH1', 'DUP1', 'DUP3', 'KECCAK256', 'SWAP4', 'SWAP1', 'SWAP4', 'SSTORE', 'SWAP1', 'DUP6', 'AND', 'DUP2', 'MSTORE', 'SWAP1', 'DUP2', 'KECCAK256', 'DUP1', 'SLOAD', 'DUP5', 'SWAP3', 'SWAP1', 'PUSHTAG', 'SWAP1', 'DUP5', 'SWAP1']",51,
82,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block26_input,3.0,9,True,False,9,0.0,0.023,DUP1 PUSH 30ba25d EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
83,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block177_input,,,False,True,47,,10.078,,17,,4,3,,"['POP', 'PUSH1', 'ADD', 'PUSH1', 'NOT', 'AND', 'SWAP3', 'SWAP1', 'SWAP3', 'ADD', 'PUSH1', 'ADD', 'SWAP4', 'SWAP3', 'POP', 'POP', 'POP']",20,
84,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_ECDSA_initial_block1_input,6.0,18,True,False,24,6.0,0.018,PUSH 0 PUSH 4 MSTORE PUSH 4e487b7100000000000000000000000000000000000000000000000000000000 PUSH 0 MSTORE ,6,6.0,2,3,41.0,"['PUSH4', 'PUSH1', 'SHL', 'PUSH1', 'MSTORE', 'PUSH1', 'PUSH1', 'MSTORE']",16,-25.0
85,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block24_input,3.0,9,True,False,9,0.0,0.014,DUP1 PUSH 632db21c EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
86,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block127_input,27.0,81,True,False,93,12.0,24.506,PUSH 40 MLOAD PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP2 MSTORE PUSH 7373000000000000000000000000000000000000000000000000000000000000 PUSH 64 DUP3 ADD PUSH 20 DUP4 PUSH 4 ADD MSTORE PUSH 22 DUP4 PUSH 24 ADD MSTORE PUSH 45524332303a20617070726f766520746f20746865207a65726f206164647265 PUSH 44 DUP5 ADD MSTORE MSTORE PUSH 84 ADD ,27,27.0,11,11,131.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH2', 'PUSH1', 'SHL', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD']",78,-53.0
87,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block205_input,6.0,15,True,False,18,3.0,0.12,SWAP4 POP POP SWAP1 POP SWAP2 ,7,6.0,0,0,6.0,"['SWAP1', 'POP', 'SWAP3', 'POP', 'SWAP3', 'SWAP1', 'POP']",7,1.0
88,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block173_input,4.0,12,True,False,12,0.0,0.019,DUP2 DUP2 LT ISZERO ,4,4.0,2,0,4.0,"['DUP2', 'DUP2', 'LT', 'ISZERO']",4,0.0
89,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block94_input,5.0,12,True,False,15,3.0,0.026,POP POP POP PUSH 1 SWAP1 ,6,5.0,0,1,6.0,"['POP', 'PUSH1', 'SWAP3', 'SWAP2', 'POP', 'POP']",7,1.0
