,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
24,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block67_input,27.0,81,True,False,93,12.0,20.408,PUSH 40 MLOAD PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP2 MSTORE PUSH 7373000000000000000000000000000000000000000000000000000000000000 PUSH 64 DUP3 ADD PUSH 20 DUP4 PUSH 4 ADD MSTORE PUSH 22 DUP4 PUSH 24 ADD MSTORE PUSH 45524332303a20617070726f766520746f20746865207a65726f206164647265 PUSH 44 DUP5 ADD MSTORE MSTORE PUSH 84 ADD ,27,27.0,11,11,131.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH2', 'PUSH1', 'SHL', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD']",78,-53.0
25,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block49_input,7.0,17,True,False,20,3.0,0.335,SWAP5 POP POP POP SWAP1 POP SWAP2 ,8,7.0,0,0,7.0,"['SWAP2', 'POP', 'POP', 'SWAP3', 'POP', 'SWAP3', 'SWAP1', 'POP']",8,1.0
26,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block77.0_input,6.0,18,True,False,18,0.0,0.024,PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1 ,6,6.0,2,1,7.0,"['PUSH1', 'MLOAD', 'DUP1', 'SWAP2', 'SUB', 'SWAP1']",7,0.0
27,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block0_input,6.0,16,True,False,17,1.0,0.015,PUSH 80 PUSH 40 MSTORE CALLVALUE CALLVALUE ISZERO ,6,6.0,3,2,8.0,"['PUSH1', 'PUSH1', 'MSTORE', 'CALLVALUE', 'DUP1', 'ISZERO']",8,0.0
28,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block55_input,6.0,18,True,False,18,0.0,0.019,PUSH 20 DUP3 LT DUP2 EQ ISZERO ,6,6.0,3,1,7.0,"['PUSH1', 'DUP3', 'LT', 'DUP2', 'EQ', 'ISZERO']",7,0.0
29,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block27_input,7.0,21,True,False,21,0.0,0.026,PUSH 40 MLOAD PUSH 9 DUP2 MSTORE PUSH 20 ADD ,7,7.0,3,3,10.0,"['PUSH1', 'MLOAD', 'PUSH1', 'DUP2', 'MSTORE', 'PUSH1', 'ADD']",10,0.0
30,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block19_input,6.0,18,True,False,18,0.0,0.023,PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1 ,6,6.0,2,1,7.0,"['PUSH1', 'MLOAD', 'DUP1', 'SWAP2', 'SUB', 'SWAP1']",7,0.0
31,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block51_input,29.0,809,False,False,849,40.0,50.125,PUSH 1 DUP3 PUSH 40 DUP7 PUSH ffffffffffffffffffffffffffffffffffffffff AND PUSH 0 MSTORE PUSH 0 KECCAK256 DUP1 PUSH 20 SWAP1 SLOAD SWAP4 SWAP1 MSTORE PUSH 20 CALLER PUSH 0 SWAP4 SWAP4 MSTORE MSTORE POP DUP3 DUP2 LT ISZERO ,29,29.0,10,5,56.0,"['PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP5', 'AND', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'DUP1', 'DUP4', 'KECCAK256', 'CALLER', 'DUP5', 'MSTORE', 'SWAP1', 'SWAP2', 'MSTORE', 'SWAP1', 'KECCAK256', 'SLOAD', 'DUP3', 'DUP2', 'LT', 'ISZERO']",40,-16.0
32,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block46_input,,,False,True,34,,10.034,,12,,4,1,,"['SWAP4', 'POP', 'PUSH1', 'DUP6', 'ADD', 'MLOAD', 'SWAP2', 'POP', 'DUP1', 'DUP3', 'GT', 'ISZERO']",13,
33,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block15_input,3.0,9,True,False,9,0.0,0.016,DUP3 PUSH 1f LT ,3,3.0,1,1,4.0,"['DUP3', 'PUSH1', 'LT']",4,0.0
